779159`AH`2024-04-16 00:00:00.000`0.0`0.47999999999999998`1`0`
779158`NR`2024-04-15 00:00:00.000`0.0`0.71999999999999997`9`0`
779157`TT`2024-04-15 00:00:00.000`0.0`2.0`9`0`
779156`JRL`2024-04-05 00:00:00.000`0.0`0.75`9`0`
779147`EH`2024-04-16 00:00:00.000`0.0`1.5`0`0`
779147`NR`2024-04-15 00:00:00.000`0.0`0.5`0`0`
779147`EH`2024-04-02 00:00:00.000`0.0`1.5`0`0`
779147`DT`2024-04-05 00:00:00.000`0.0`1.5`0`0`
779147`EH`2024-04-05 00:00:00.000`0.0`1.5`0`0`
779146`ITA`2024-04-08 00:00:00.000`0.0`3.0`0`0`
779146`NV`2024-04-16 00:00:00.000`0.0`1.0`0`0`
779146`NJW`2024-04-15 00:00:00.000`0.0`0.5`0`0`
779146`NR`2024-04-15 00:00:00.000`0.0`0.23000000000000001`0`0`
779146`NJW`2024-04-09 00:00:00.000`0.0`1.0`0`0`
779146`NR`2024-04-06 00:00:00.000`0.0`1.0`0`0`
779145`AH`2024-04-01 00:00:00.000`0.0`1.0`0`0`
779145`NR`2024-04-10 00:00:00.000`0.0`0.25`0`0`
779145`AB`2024-04-10 00:00:00.000`0.0`0.75`0`0`
779145`TM`2024-04-01 00:00:00.000`0.0`3.5`0`0`
779145`BC`2024-04-08 00:00:00.000`0.0`4.0`0`0`
779145`CF`2024-04-16 00:00:00.000`0.0`0.33000000000000002`0`0`
779145`CF`2024-04-01 00:00:00.000`0.0`0.75`0`0`
779145`AB`2024-04-03 00:00:00.000`0.0`0.75`0`0`
779145`CF`2024-04-03 00:00:00.000`0.0`0.68000000000000005`0`0`
779145`AE`2024-04-04 00:00:00.000`0.0`1.0`1`0`
779145`JPK`2024-04-04 00:00:00.000`0.0`1.5`1`0`
779145`CF`2024-04-02 00:00:00.000`0.0`0.56000000000000005`0`0`
779145`AE`2024-04-05 00:00:00.000`0.0`1.0`1`0`
779145`BC`2024-04-05 00:00:00.000`0.0`2.5099999999999998`0`0`
779145`NV`2024-04-11 00:00:00.000`0.0`2.0`0`0`
779145`JZ`2024-04-09 00:00:00.000`0.0`4.5`0`0`
779145`NR`2024-04-10 00:00:00.000`0.0`0.25`0`0`
779145`AB`2024-04-12 00:00:00.000`0.0`0.25`0`0`
779144`BC`2024-04-08 00:00:00.000`0.0`2.0`0`0`
779144`TM`2024-04-15 00:00:00.000`0.0`1.97`0`0`
779144`CF`2024-04-01 00:00:00.000`0.0`0.26000000000000001`0`0`
779144`BC`2024-04-04 00:00:00.000`0.0`2.5`0`0`
779144`TM`2024-04-02 00:00:00.000`0.0`3.6699999999999999`0`0`
779144`NJW`2024-04-03 00:00:00.000`0.0`2.3500000000000001`0`0`
779143`AB`2024-04-01 00:00:00.000`0.0`0.25`0`0`
779143`JT`2024-04-10 00:00:00.000`0.0`8.0000000000000002E-2`0`0`
779143`CF`2024-04-11 00:00:00.000`0.0`0.10000000000000001`0`0`
779143`NJW`2024-04-11 00:00:00.000`0.0`0.25`0`0`
779143`AB`2024-04-11 00:00:00.000`0.0`2.1499999999999999`0`0`
779143`CF`2024-04-11 00:00:00.000`0.0`0.11`0`0`
